# angle_deg  x_mm  y_mm  z_mm  rotation_deg
0.00  0.0000  0.0000  -4000.0000  0.00
1.00  -3.3390  0.0064  -1324.1909  -1.00
2.00  -7.7287  0.0075  -1151.8117  -2.00
3.00  -12.9328  0.0088  -1031.6168  -3.00
4.00  -18.9698  0.0105  -932.5705  -4.00
5.00  -25.8897  0.0120  -844.4993  -5.00
6.00  -33.7681  0.0131  -762.6098  -6.00
7.00  -42.6728  0.0144  -684.4191  -7.00
8.00  -52.6612  0.0157  -608.5314  -8.00
9.00  -63.7744  0.0172  -534.1604  -9.00
10.00  -76.0454  0.0186  -460.8262  -10.00
