# angle_deg  x_mm  y_mm  z_mm  rotation_deg
0.00  0.0000  0.0000  -4000.0000  0.00
1.00  -3.2882  0.0068  -1342.8920  -1.00
2.00  -7.5766  0.0078  -1174.4419  -2.00
3.00  -12.6219  0.0089  -1057.8829  -3.00
4.00  -18.4168  0.0105  -962.7939  -4.00
5.00  -24.9993  0.0120  -879.0001  -5.00
6.00  -32.4207  0.0130  -801.8499  -6.00
7.00  -40.7416  0.0140  -728.7786  -7.00
8.00  -50.0106  0.0150  -658.3515  -8.00
9.00  -60.2711  0.0161  -589.6835  -9.00
10.00  -71.5526  0.0173  -522.2608  -10.00
