# angle_deg  x_mm  y_mm  z_mm  rotation_deg
0.00  0.0000  0.0000  -4000.0000  0.00
1.00  -3.2653  0.0069  -1351.2405  -1.00
2.00  -7.5099  0.0079  -1184.4837  -2.00
3.00  -12.4883  0.0089  -1069.4585  -3.00
4.00  -18.1824  0.0105  -976.0108  -4.00
5.00  -24.6274  0.0119  -893.9593  -5.00
6.00  -31.8632  0.0130  -818.7336  -6.00
7.00  -39.9441  0.0139  -747.7666  -7.00
8.00  -48.9169  0.0148  -679.5877  -8.00
9.00  -58.8225  0.0157  -613.2941  -9.00
10.00  -69.6912  0.0167  -548.3370  -10.00
