# angle_deg  x_mm  y_mm  z_mm  rotation_deg
0.00  0.0000  0.0000  -4000.0000  0.00
1.00  -3.2434  0.0072  -1359.1336  -1.00
2.00  -7.4478  0.0082  -1193.9326  -2.00
3.00  -12.3646  0.0091  -1080.3173  -3.00
4.00  -17.9688  0.0107  -988.3352  -4.00
5.00  -24.2897  0.0122  -907.8578  -5.00
6.00  -31.3605  0.0133  -834.3431  -6.00
7.00  -39.2276  0.0142  -765.2510  -7.00
8.00  -47.9353  0.0150  -699.0843  -8.00
9.00  -57.5216  0.0159  -634.9264  -9.00
10.00  -68.0180  0.0169  -572.1932  -10.00
