tag,method,n,px_med,px_hw,py_med,py_hw,pz_med,pz_hw
Sn112E190_g050ynp,rk,9876,0.06547304999999959,5.883474592500001,-0.08148510000000231,1.5265230687500013,-1.1684449999999629,5.938775499999988
Sn112E190_g050ynp,nn,9876,-0.8747050000000005,6.108952955031256,0.5895280999999999,1.3919671315625042,1.9090949999999793,6.342993812499988
Sn112E190_g050ypn,rk,9875,-0.19283199999999923,5.967937671995001,-0.13315199999999905,1.5217893255799986,-0.9471600000000535,5.95291975
Sn112E190_g050ypn,nn,9875,-0.8849230000000006,6.198730600475001,0.5467820000000003,1.3608233505449991,1.175200000000018,6.456832556499983
Sn112E190_g060ynp,rk,9908,0.2015924499999997,5.7555812862249995,-0.06771880000000063,1.507167398650001,-1.172050000000013,5.773966444499967
Sn112E190_g060ynp,nn,9908,-0.6600304999999995,5.927992122239999,0.5239379999999993,1.3801667616249995,2.0113549999999805,5.998588774499984
Sn112E190_g060ypn,rk,9877,-0.2996679000000011,5.854136988660006,-0.17192399999999886,1.493022850700001,-0.8343900000000986,5.9187627630000055
Sn112E190_g060ypn,nn,9877,-1.0500078000000004,6.00985282255,0.5278089999999978,1.333898093989999,1.3016099999999824,6.447636262999982
Sn112E190_g070ynp,rk,9897,0.3897399999999891,5.833404161080001,-0.09182500000000005,1.5100164469,-1.3424099999999726,5.863984146000014
Sn112E190_g070ynp,nn,9897,-0.47071299999999994,5.89827942912,0.4492571999999999,1.3777448051999994,1.9150399999999763,5.983268135999948
Sn112E190_g070ypn,rk,9893,-0.33021506899999997,5.820918603859999,-0.20214299999999952,1.5108217406000004,-0.8615399999999909,5.820612535999992
Sn112E190_g070ypn,nn,9893,-0.9747430000000001,5.980807140294001,0.4779180000000025,1.3387660635999996,1.260059999999953,6.319383843000013
Sn112E190_g080ynp,rk,9909,0.281158,5.904329222770004,-0.11904200000000031,1.5204414040000003,-1.2466799999999694,5.903598883999994
Sn112E190_g080ynp,nn,9909,-0.5856246999999994,5.9003427127395,0.4210710000000013,1.3759813726000005,1.9225099999999884,5.981593100999963
Sn112E190_g080ypn,rk,9908,-0.27394865000000057,5.723735394997499,-0.16946074999999983,1.5247294452000015,-0.8875400000000013,5.682470711999981
Sn112E190_g080ypn,nn,9908,-0.9230205000000007,5.763066581177498,0.49413450000000037,1.3483244533874992,1.2288749999999595,6.100260439249972
Sn124E190_g050ynp,rk,9877,0.06651539999999923,5.788331277459999,-0.07200899999999999,1.51883492925,-1.1473799999999983,5.897205346000035
Sn124E190_g050ynp,nn,9877,-0.8841491000000001,6.11439211162,0.5916171000000006,1.3815009957599995,1.9177000000000817,6.399340485999995
Sn124E190_g050ypn,rk,9889,-0.296856,6.03411185408,-0.1439629999999994,1.5474037999999992,-0.9936800000000403,6.072641104000002
Sn124E190_g050ypn,nn,9889,-1.0767749999999978,6.429659008560002,0.5483999999999991,1.38276219264,1.0956999999999653,6.727999416000009
Sn124E190_g060ynp,rk,9905,0.17910499999999985,5.83566238784,-0.0659559999999999,1.5150743400000004,-1.1349100000001044,5.8548330799999695
Sn124E190_g060ynp,nn,9905,-0.7409247999999997,6.0294741512,0.5748090000000019,1.3965599328000022,1.988020000000006,6.151331564000015
Sn124E190_g060ypn,rk,9876,-0.027909500000000698,5.819558183750002,-0.16813650000000102,1.5256459656250019,-0.9889250000000516,5.857292000000008
Sn124E190_g060ypn,nn,9876,-0.7974790999999999,6.022878475625003,0.5300075000000009,1.3662630906250002,1.0446099999999774,6.36051090624999
Sn124E190_g070ynp,rk,9898,0.4305594500000005,5.842413565969999,-0.02895249999999905,1.5265089499999998,-1.3097500000000082,5.8470388072499855
Sn124E190_g070ynp,nn,9898,-0.48236849999999976,5.9481889161999995,0.5149449999999991,1.392345460250001,1.9054000000000428,6.082033253000009
Sn124E190_g070ypn,rk,9894,-0.2641309999999999,5.942900506000001,-0.18782479999999957,1.5234303420924997,-0.8722600000000398,5.906860121999958
Sn124E190_g070ypn,nn,9894,-0.9491209999999999,6.097166444507502,0.49609150000000035,1.3496272138500016,1.3194349999999986,6.334706930999992
Sn124E190_g080ynp,rk,9900,0.2772994000000004,5.759092115075001,-0.07114240000000072,1.5371442877500008,-1.1483249999999998,5.8375395477500795
Sn124E190_g080ynp,nn,9900,-0.7078551500000001,5.859892217497501,0.5036655149999993,1.4095498055000002,2.088874999999973,6.005579206749984
Sn124E190_g080ypn,rk,9911,-0.3084578000000002,5.828801914125,-0.16579799999999878,1.5165027637499995,-0.7642600000000357,5.804016057500011
Sn124E190_g080ypn,nn,9911,-0.9787329999999983,5.890313485,0.515073000000001,1.3375021335000008,1.4191399999999703,6.206623952500008
