truth_px,truth_py,N,sigma_x_pdc1_mm,sigma_y_pdc1_mm,sigma_x_pdc2_mm,sigma_y_pdc2_mm,sigma_theta_x_mrad,sigma_theta_y_mrad,condition,delta_sigma_x_pdc1_mm,delta_sigma_y_pdc1_mm,delta_sigma_x_pdc2_mm,delta_sigma_y_pdc2_mm,delta_sigma_theta_x_mrad,delta_sigma_theta_y_mrad
0.0,0.0,49,3.033677177186064,11.290085058553442,4.082042241918771,15.33077438514897,16.175045151666012,7.956404184653973,baseline,2.886645611898075,10.774945382173309,3.6354331130623905,14.384200109512202,9.376955093411743,5.398188669677774
100.0,0.0,50,3.709785317565775,9.55495790419092,4.771763146190096,11.769111525243432,11.161373201388546,5.364274005534479,baseline,3.5560457748183585,9.191263924619156,4.355970257701755,10.770431470649122,7.086762214710384,3.407910910410972
0.0,20.0,50,3.052930015810034,9.19336550092818,4.129360846986401,11.446508989471836,13.520559052811132,6.491689658555531,baseline,2.8793963613877622,8.782203675626747,3.7329381233143977,10.444181517931709,6.607542277400347,4.193108222801653
0.0,0.0,50,0.147031565287989,0.5151396763801339,0.4466091288563802,0.9465742756367688,6.798090058254269,2.5582155149761987,no_air,,,,,,
100.0,0.0,50,0.1537395427474166,0.3636939795717644,0.4157928884883404,0.99868005459431,4.074610986678162,1.9563630951235065,no_air,,,,,,
0.0,20.0,50,0.1735336544222718,0.4111618253014342,0.3964227236720035,1.0023274715401271,6.913016775410785,2.2985814357538783,no_air,,,,,,
