cut,N_truth_pos,N_truth_neg,R_truth,R_weighted_geom,R_weighted_reco
loose,183070,767660,0.2384779720188625,0.6603373668761991,0.7341646985129902
mid,169189,633287,0.2671600711841551,0.6280333840329178,0.7264079676133112
tight,22322,69005,0.32348380552133904,0.4424565410480904,0.8864871253534455
