pol,left_gamma,right_gamma,R_left,R_right,delta_R,N_required_3sigma,expected_N_15mm_16h
ypol,g050,g060,12.47953216374269,7.807272727272728,4.672259436469962,519.2875342842515,274994.7615827033
ypol,g060,g070,7.807272727272728,5.846368715083799,1.9609040121889283,978.8566811377729,274994.7615827033
ypol,g070,g080,5.846368715083799,4.994871794871795,0.8514969202120044,2773.826538991526,274994.7615827033
zpol,g050,g060,6.375,3.1044776119402986,3.2705223880597014,131.3853449563246,1879560.0336188267
zpol,g060,g070,3.1044776119402986,1.6589147286821706,1.445562883258128,117.30703608124061,1879560.0336188267
zpol,g070,g080,1.6589147286821706,0.5570032573289903,1.1019114713531803,36.49195276210209,1879560.0336188267
